মূল,লেবেল,সমার্থক ১,সমার্থক ২,সমার্থক ৩,সমার্থক ৪,সমার্থক ৫,উৎপত্তি,উদাহরণ,প্রকৃতি,কাল - অতীত,কাল - বর্তমান,কাল - ভবিষ্যৎ
খাওয়া,কোন প্রকার ক্রিয়া,ভোজন করা,আহার করা,গ্রহণ করা,সেবন করা,খাদ্য গ্রহণ করা,সংস্কৃত "खाद्" (খাদ্) ধাতু থেকে,"সে ভাত **খাচ্ছে**।",সকর্মক,খেয়েছিল,খাচ্ছে,খাবে
খেলা,কোন প্রকার ক্রিয়া,ক্রীড়া করা,আমোদ করা,বিনোদন করা,খেলাধুলা করা,ক্রীড়ানুষ্ঠান করা,সংস্কৃত "खेल्" (খেল্) ধাতু থেকে,"বাচ্চারা মাঠে **খেলছে**।",অকর্মক,খেলেছিল,খেলছে,খেলবে
খোঁজা,কোন প্রকার ক্রিয়া,অনুসন্ধান করা,তল্লাশ করা,সন্ধান করা,অন্বেষণ করা,খুঁজে বের করা,সংস্কৃত "खोज्" (খোজ্) ধাতু থেকে,"পুলিশ চোর **খুঁজছে**।",সকর্মক,খুঁজেছিল,খুঁজছে,খুঁজবে
খোলা,কোন প্রকার ক্রিয়া,উন্মুক্ত করা,প্রকাশ করা,আবরণমুক্ত করা,দরজা খুলে দেওয়া,মুক্ত করা,সংস্কৃত "खुल्ल्" (খুল্ল্) ধাতু থেকে,"দরজা **খুলছে**।",সকর্মক,খুলেছিল,খুলছে,খুলবে
খাঁটি,কোন প্রকার ক্রিয়া,পরিশোধন করা,শোধন করা,বিশুদ্ধ করা,নির্মল করা,পরিষ্কার করা,সংস্কৃত "खण्ड्" (খণ্ড্) ধাতু থেকে,"সোনা **খাঁটি** করছে।",সকর্মক,খাঁটি করেছিল,খাঁটি করছে,খাঁটি করবে
খরচ করা,কোন প্রকার ক্রিয়া,ব্যয় করা,ব্যয় করা,নিয়োগ করা,বিনিয়োগ করা,উপভোগ করা,ফার্সি "खर्च" (খরচ) থেকে,"টাকা **খরচ** করছে।",সকর্মক,খরচ করেছিল,খরচ করছে,খরচ করবে
খামাখা,কোন প্রকার ক্রিয়া,অকারণে করা,বিনা কারণে করা,অযাচিতভাবে করা,অপ্রয়োজনে করা,অহেতুক করা,আরবি "खाम" (খাম) + বাংলা "খা","**খামাখা** বিরক্ত করছে।",অকর্মক,খামাখা করেছিল,খামাখা করছে,খামাখা করবে
খেলাপ করা,কোন প্রকার ক্রিয়া,লঙ্ঘন করা,ভঙ্গ করা,অমান্য করা,উল্লঙ্ঘন করা,অবাধ্য হওয়া,আরবি "खिलाफ" (খেলাপ) থেকে,"চুক্তি **খেলাপ** করছে।",সকর্মক,খেলাপ করেছিল,খেলাপ করছে,খেলাপ করবে
খোদাই করা,কোন প্রকার ক্রিয়া,উৎকীর্ণ করা,খনন করা,আকৃতি দেওয়া,নকশা করা,উদ্গত করা,আরবি "खोद" (খোদ) ধাতু থেকে,"পাথরে নাম **খোদাই** করছে।",সকর্মক,খোদাই করেছিল,খোদাই করছে,খোদাই করবে
খাস করা,কোন প্রকার ক্রিয়া,বিশেষভাবে করা,নির্বাচন করা,উৎকৃষ্ট করা,প্রাধান্য দেওয়া,গুরুত্ব দেওয়া,ফার্সি "खास" (খাস) থেকে,"এটি **খাস** করে তৈরি।",সকর্মক,খাস করেছিল,খাস করছে,খাস করবে
খেদানো,কোন প্রকার ক্রিয়া,তাড়ানো,বিতাড়িত করা,হটানো,নিষ্কাশন করা,বহিষ্কার করা,সংস্কৃত "खिद्" (খিদ্) ধাতু থেকে,"কুকুর **খেদাচ্ছে**।",সকর্মক,খেদিয়েছিল,খেদাচ্ছে,খেদাবে
খোঁড়া,কোন প্রকার ক্রিয়া,খনন করা,মাটি কাটা,গর্ত করা,খনি করা,উৎখনন করা,সংস্কৃত "खन्" (খন্) ধাতু থেকে,"কুয়া **খোঁড়া** হচ্ছে।",সকর্মক,খুঁড়েছিল,খুঁড়ছে,খুঁড়বে
খেলানো,কোন প্রকার ক্রিয়া,ক্রীড়া করানো,আমোদ করানো,বিনোদিত করা,খেলাধুলা করানো,ক্রীড়ানুষ্ঠান করানো,সংস্কৃত "खेल्" (খেল্) ধাতু থেকে,"বাচ্চাদের **খেলাচ্ছে**।",সকর্মক,খেলিয়েছিল,খেলাচ্ছে,খেলাবে
খামচা,কোন প্রকার ক্রিয়া,চিমটি কাটা,দাঁত দিয়ে কামড়ানো,কীটদংশন করা,দংশন করা,আকর্ষণ করা,অনুকারণ শব্দ থেকে,"পিঁপড়া **খামচে** দিয়েছে।",সকর্মক,খামচেছিল,খামচছে,খামচবে
খোয়া,কোন প্রকার ক্রিয়া,হারানো,নষ্ট করা,বিনষ্ট করা,ক্ষয় করা,অপচয় করা,সংস্কৃত "क्षि" (ক্ষি) ধাতু থেকে,"সময় **খোয়াচ্ছে**।",সকর্মক,খোয়েছিল,খোয়াচ্ছে,খোয়াবে
খাড়া করা,কোন প্রকার ক্রিয়া,উত্তোলন করা,দাঁড় করানো,স্থাপন করা,নির্মাণ করা,উদ্ভাবন করা,সংস্কৃত "स्था" (স্থা) ধাতু থেকে,"দেয়াল **খাড়া** করছে।",সকর্মক,খাড়া করেছিল,খাড়া করছে,খাড়া করবে
খেপা,কোন প্রকার ক্রিয়া,রাগানো,ক্রুদ্ধ করা,উত্তেজিত করা,বিরক্ত করা,প্ররোচিত করা,সংস্কৃত "क्षिप्" (ক্ষিপ্) ধাতু থেকে,"তাকে **খেপাচ্ছে**।",সকর্মক,খেপিয়েছিল,খেপাচ্ছে,খেপাবে
খোঁজ নেওয়া,কোন প্রকার ক্রিয়া,তদন্ত করা,জিজ্ঞাসাবাদ করা,অনুসন্ধান নেওয়া,সন্ধান করা,খবর নেওয়া,সংস্কৃত "खोज्" (খোজ্) ধাতু থেকে,"বিষয়টি **খোঁজ** নিচ্ছে।",সকর্মক,খোঁজ নিয়েছিল,খোঁজ নিচ্ছে,খোঁজ নেবে
খাঁচা বাঁধা,কোন প্রকার ক্রিয়া,আবদ্ধ করা,পিঞ্জরাবদ্ধ করা,বন্দী করা,ঘেরাও করা,সংযত করা,ফার্সি "खाना" (খানা) থেকে,"পাখি **খাঁচায়** বাঁধছে।",সকর্মক,বাঁধেছিল,বাঁধছে,বাঁধবে
খরিদ করা,কোন প্রকার ক্রিয়া,ক্রয় করা,কিনে নেওয়া,আদায় করা,সংগ্রহ করা,অর্জন করা,ফার্সি "खरीद" (খরিদ) থেকে,"জিনিস **খরিদ** করছে।",সকর্মক,খরিদ করেছিল,খরিদ করছে,খরিদ করবে
খালাস করা,কোন প্রকার ক্রিয়া,মুক্ত করা,উদ্ধার করা,রেহাই দেওয়া,নিষ্কৃতি দেওয়া,মোচন করা,আরবি "خلاص" (খালাস) থেকে,"বন্দী **খালাস** করছে।",সকর্মক,খালাস করেছিল,খালাস করছে,খালাস করবে
খাটানো,কোন প্রকার ক্রিয়া,প্রয়োগ করা,ব্যবহার করা,নিযুক্ত করা,কাজে লাগানো,পরিশ্রম করানো,সংস্কৃত "खट्" (খট্) ধাতু থেকে,"সেবক **খাটাচ্ছে**।",সকর্মক,খাটিয়েছিল,খাটাচ্ছে,খাটাবে
খেয়াল করা,কোন প্রকার ক্রিয়া,মনোযোগ দেওয়া,লক্ষ্য করা,সচেতন হওয়া,ধারণা করা,অনুভব করা,আরবি "ख्याल" (খেয়াল) থেকে,"সে **খেয়াল** করছে না।",সকর্মক,খেয়াল করেছিল,খেয়াল করছে,খেয়াল করবে
খসানো,কোন প্রকার ক্রিয়া,পাতানো,ঝরানো,ফেলা,নিক্ষেপ করা,পরিত্যাগ করা,সংস্কৃত "खस्" (খস্) ধাতু থেকে,"গাছ থেকে পাতা **খসাচ্ছে**।",সকর্মক,খসিয়েছিল,খসাচ্ছে,খসাবে
খণ্ডন করা,কোন প্রকার ক্রিয়া,প্রতিবাদ করা,অস্বীকার করা,মিথ্যা প্রমাণ করা,খণ্ডিত করা,ভঙ্গ করা,সংস্কৃত "खण्ड्" (খণ্ড্) ধাতু থেকে,"যুক্তি **খণ্ডন** করছে।",সকর্মক,খণ্ডন করেছিল,খণ্ডন করছে,খণ্ডন করবে
খর্ব করা,কোন প্রকার ক্রিয়া,সংক্ষিপ্ত করা,ছোট করা,হ্রাস করা,নিম্ন করা,অপমান করা,সংস্কৃত "खर्व" (খর্ব) থেকে,"মর্যাদা **খর্ব** করছে।",সকর্মক,খর্ব করেছিল,খর্ব করছে,খর্ব করবে
খেলনা তৈরি করা,কোন প্রকার ক্রিয়া,ক্রীড়নক নির্মাণ করা,পুতুল বানানো,খেলার সামগ্রী তৈরি করা,বাচ্চাদের সামগ্রী বানানো,আমোদের জিনিস তৈরি করা,সংস্কৃত "खेल" + "ना","**খেলনা** তৈরি করছে।",সকর্মক,তৈরি করেছিল,তৈরি করছে,তৈরি করবে
খাতা লেখা,কোন প্রকার ক্রিয়া,নোট করা,লিপিবদ্ধ করা,রেকর্ড করা,পৃষ্ঠা পূরণ করা,বহি লেখা,ফার্সি "खाता" (খাতা),"হিসাব **খাতায়** লিখছে।",সকর্মক,লিখেছিল,লিখছে,লিখবে
খবর পাঠানো,কোন প্রকার ক্রিয়া,সংবাদ দেওয়া,জানানো,ইত্তিলা দেওয়া,বার্তা প্রেরণ করা,সমাচার বলা,আরবি "खबर" (খবর),"**খবর** পাঠাচ্ছে।",সকর্মক,পাঠিয়েছিল,পাঠাচ্ছে,পাঠাবে
খাজনা দেওয়া,কোন প্রকার ক্রিয়া,কর পরিশোধ করা,মাশুল আদায় করা,শুল্ক প্রদান করা,দেওনি মেটানো,প্রদেয় করা,ফার্সি "खजाना" (খাজনা),"জমির **খাজনা** দিচ্ছে।",সকর্মক,দিয়েছিল,দিচ্ছে,দেবে
খোলাসা করা,কোন প্রকার ক্রিয়া,স্পষ্ট করা,ব্যাখ্যা করা,বিশদ বর্ণনা করা,প্রকাশ করা,উন্মোচন করা,আরবি "खुलासा" (খোলাসা),"বিষয়টি **খোলাসা** করছে।",সকর্মক,খোলাসা করেছিল,খোলাসা করছে,খোলাসা করবে
খেলার ব্যবস্থা করা,কোন প্রকার ক্রিয়া,ক্রীড়ার আয়োজন করা,আমোদ প্রস্তুত করা,বিনোদনের ব্যবস্থা করা,খেলাধুলার সংগঠন করা,ক্রীড়ানুষ্ঠান করা,সংস্কৃত "खेल" + "ব্যবস্থা","**খেলার** ব্যবস্থা করছে।",সকর্মক,করেছিল,করছে,করবে
খোয়াড় বাঁধা,কোন প্রকার ক্রিয়া,ঘেরা দেওয়া,প্রাচীর নির্মাণ করা,আবদ্ধ করা,ঘেরাও করা,সীমানা নির্ধারণ করা,সংস্কৃত "खात" (খাত) + "বাঁধা","গোয়াল **খোয়াড়** বাঁধছে।",সকর্মক,বাঁধেছিল,বাঁধছে,বাঁধবে
খাতির করা,কোন প্রকার ক্রিয়া,সম্মান করা,মর্যাদা দেওয়া,আদর করা,স্নেহ করা,যত্ন নেওয়া,আরবি "खातिर" (খাতির),"অতিথির **খাতির** করছে।",সকর্মক,করেছিল,করছে,করবে
খেলাপি হওয়া,কোন প্রকার ক্রিয়া,অপরাধী হওয়া,চুক্তি ভঙ্গ করা,ঋণ না শোধ করা,বাকি পড়া,অবাধ্য হওয়া,আরবি "खिलाफ" (খেলাপ),"সে **খেলাপি** হয়েছে।",অকর্মক,হয়েছিল,হচ্ছে,হবে
খাঁটি সোনা পরীক্ষা করা,কোন প্রকার ক্রিয়া,পরীক্ষণ করা,শোধন যাচাই করা,বিশুদ্ধতা যাচাই করা,নির্মলতা পরীক্ষা করা,পরিশোধন করা,সংস্কৃত "खण्ड्" (খণ্ড্),"**সোনা** খাঁটি কি না পরীক্ষা করছে।",সকর্মক,পরীক্ষা করেছিল,পরীক্ষা করছে,পরীক্ষা করবে
খরচ কমানো,কোন প্রকার ক্রিয়া,ব্যয় হ্রাস করা,সঞ্চয় করা,সংযত করা,কম ব্যয় করা,মিতব্যয়ী হওয়া,ফার্সি "खर्च" (খরচ),"মাসিক **খরচ** কমাচ্ছে।",সকর্মক,কমিয়েছিল,কমাচ্ছে,কমাবে
খেলার মাঠ পরিষ্কার করা,কোন প্রকার ক্রিয়া,সাফ করা,পরিচ্ছন্ন করা,ঝাড়ু দেওয়া,নির্মল করা,আবর্জনা সাফ করা,সংস্কৃত "खेल" + "পরিষ্কার","**মাঠ** পরিষ্কার করছে।",সকর্মক,পরিষ্কার করেছিল,পরিষ্কার করছে,পরিষ্কার করবে
খোঁজাখুঁজি করা,কোন প্রকার ক্রিয়া,অনুসন্ধান করা,তল্লাশি করা,খুঁজে বের করা,অন্বেষণ করা,সন্ধান করা,সংস্কৃত "खोज्" (খোজ্),"জিনিস **খোঁজাখুঁজি** করছে।",সকর্মক,করেছিল,করছে,করবে
খামারে কাজ করা,কোন প্রকার ক্রিয়া,কৃষিকাজ করা,চাষাবাদ করা,ফার্মে শ্রম দেওয়া,কৃষিভূমিতে কাজ করা,ক্ষেতের কাজ করা,ইংরেজি "farm" (খামার),"**খামারে** কাজ করছে।",অকর্মক,করেছিল,করছে,করবে
খেলনা দোকান খোলা,কোন প্রকার ক্রিয়া,দোকান চালু করা,ব্যবসা শুরু করা,ক্রীড়নকের দোকান প্রতিষ্ঠা করা,বাচ্চাদের সামগ্রী বিক্রি করা,আমোদের দোকান উদ্বোধন করা,সংস্কৃত "खेल" + "দোকান","**খেলনার** দোকান খুলছে।",সকর্মক,খুলেছিল,খুলছে,খুলবে
খাতা বাঁধাই করা,কোন প্রকার ক্রিয়া,জিল্ড করা,বই বাঁধাই করা,পৃষ্ঠা সংযোজন করা,নথি সংরক্ষণ করা,রেকর্ড বাঁধাই করা,ফার্সি "खाता" (খাতা),"**খাতা** বাঁধাই করছে।",সকর্মক,করেছিল,করছে,করবে
খবরের কাগজ পড়া,কোন প্রকার ক্রিয়া,সংবাদপত্র পাঠ করা,খবর দেখা,সমাচার জানা,পত্রিকা অধ্যয়ন করা,ইত্তিলা নেওয়া,আরবি "खबर" (খবর),"**খবরের** কাগজ পড়ছে।",সকর্মক,পড়েছিল,পড়ছে,পড়বে
খাজনা আদায় করা,কোন প্রকার ক্রিয়া,কর সংগ্রহ করা,মাশুল নেওয়া,শুল্ক গ্রহণ করা,দেওনি তোলা,প্রদেয় আদায় করা,ফার্সি "खजाना" (খাজনা),"**খাজনা** আদায় করছে।",সকর্মক,আদায় করেছিল,আদায় করছে,আদায় করবে
খেলার সাথী হওয়া,কোন প্রকার ক্রিয়া,ক্রীড়াসঙ্গী হওয়া,আমোদের বন্ধু হওয়া,খেলাধুলার সঙ্গী হওয়া,বিনোদনের সাথী হওয়া,ক্রীড়ানুষ্ঠানের অংশীদার হওয়া,সংস্কৃত "खेल" + "সাথী","**খেলার** সাথী হচ্ছে।",অকর্মক,হয়েছিল,হচ্ছে,হবে